Date,Price,Volume,BS
2022-12-31 19:19:31,1195.81000,0.10560000,s
2022-12-31 19:28:11,1196.47000,0.25000000,s
2022-12-31 19:28:11,1196.46000,0.25238382,s
2022-12-31 19:28:11,1196.45000,0.50000000,s
2022-12-31 19:28:11,1196.44000,1.22383656,s
2022-12-31 19:28:11,1196.43000,5.00000000,s
2022-12-31 19:28:11,1196.43000,0.50000000,s
2022-12-31 19:28:11,1196.42000,0.50000000,s
2022-12-31 19:28:11,1196.40000,0.50000000,s
2022-12-31 19:28:11,1196.39000,0.50000000,s
2022-12-31 19:28:11,1196.32000,1.62461988,s
2022-12-31 19:28:11,1196.32000,7.25538012,s
2022-12-31 19:28:11,1196.31000,0.89000000,s
2022-12-31 19:28:11,1196.19000,10.00000000,s
2022-12-31 19:28:11,1196.15000,13.85444281,s
2022-12-31 19:28:11,1196.10000,2.70703731,s
2022-12-31 19:28:11,1196.04000,3.92594033,s
2022-12-31 19:28:11,1196.02000,12.90388719,s
2022-12-31 19:28:26,1196.30000,0.10581665,s
2022-12-31 19:35:56,1193.83000,0.04332994,b
2022-12-31 19:35:56,1193.83000,0.04332994,b
2022-12-31 19:53:25,1194.46000,0.01674396,b
2022-12-31 20:01:43,1194.40000,0.05733989,b
2022-12-31 20:01:43,1194.41000,0.19266011,b
2022-12-31 20:13:50,1195.19000,0.25000000,s
2022-12-31 20:13:50,1195.18000,0.01490000,s
2022-12-31 20:17:08,1194.92000,0.25000000,s
2022-12-31 20:17:08,1194.91000,0.89000000,s
2022-12-31 20:17:08,1194.82000,0.78226615,s
2022-12-31 20:17:08,1194.81000,0.59533385,s
2022-12-31 20:18:26,1195.42000,0.01649034,b
2022-12-31 20:18:26,1195.43000,0.89000000,b
2022-12-31 20:18:26,1195.44000,0.34828550,b
2022-12-31 20:28:55,1195.26000,0.25238382,s
2022-12-31 20:28:55,1195.12000,0.25000000,s
2022-12-31 20:28:55,1195.11000,0.50000000,s
2022-12-31 20:28:55,1195.03000,0.79844896,s
2022-12-31 20:28:55,1195.03000,5.00000000,s
2022-12-31 20:28:55,1195.02000,0.90404627,s
2022-12-31 20:28:55,1195.00000,0.89000000,s
2022-12-31 20:28:55,1194.92000,0.51577313,s
2022-12-31 20:29:28,1195.24000,0.25000000,s
2022-12-31 20:29:28,1195.23000,0.25238382,s
2022-12-31 20:29:28,1195.15000,0.69377293,s
2022-12-31 20:29:28,1195.14000,0.81336602,s
2022-12-31 20:29:28,1195.08000,20.92891205,s
2022-12-31 20:29:28,1195.05000,0.84029942,s
2022-12-31 20:29:28,1195.00000,0.89000000,s
2022-12-31 20:29:28,1194.91000,25.98747606,s
2022-12-31 20:30:01,1195.42000,0.25238382,s
2022-12-31 20:30:01,1195.21000,0.25000000,s
2022-12-31 20:30:01,1195.04000,0.64485304,s
2022-12-31 20:30:01,1195.00000,0.78104754,s
2022-12-31 20:30:01,1194.94000,5.00000000,s
2022-12-31 20:30:01,1194.93000,0.89000000,s
2022-12-31 20:30:01,1194.91000,23.81162401,s
2022-12-31 20:30:01,1194.90000,3.92959154,s
2022-12-31 20:30:01,1194.89000,10.00000000,s
2022-12-31 20:30:34,1195.28000,0.25000000,s
2022-12-31 20:30:34,1195.27000,0.25238382,s
2022-12-31 20:30:34,1195.07000,0.75601329,s
2022-12-31 20:30:34,1194.98000,5.00000000,s
2022-12-31 20:30:34,1194.97000,10.00000000,s
2022-12-31 20:30:34,1194.92000,21.81796625,s
2022-12-31 20:31:07,1194.85000,0.25000000,s
2022-12-31 20:31:07,1194.84000,0.25238382,s
2022-12-31 20:31:07,1194.80000,5.00000000,s
2022-12-31 20:31:07,1194.79000,10.00000000,s
2022-12-31 20:31:07,1194.74000,8.88400000,s
2022-12-31 20:31:07,1194.73000,10.84982266,s
2022-12-31 20:31:07,1194.69000,0.70270466,s
2022-12-31 20:31:40,1194.92000,0.25000000,s
2022-12-31 20:31:40,1194.91000,0.49106880,s
2022-12-31 20:31:40,1194.87000,0.25238382,s
2022-12-31 20:31:40,1194.79000,10.00000000,s
2022-12-31 20:31:40,1194.67000,10.85036757,s
2022-12-31 20:31:40,1194.66000,10.25662054,s
2022-12-31 20:31:40,1194.65000,0.59938264,s
2022-12-31 20:31:40,1194.60000,5.00000000,s
2022-12-31 20:32:13,1194.90000,0.25000000,s
2022-12-31 20:32:13,1194.89000,0.25238382,s
2022-12-31 20:32:13,1194.73000,10.00000000,s
2022-12-31 20:32:13,1194.60000,0.65315497,s
2022-12-31 20:32:13,1194.60000,5.00000000,s
2022-12-31 20:32:13,1194.59000,1.58621361,s
2022-12-31 20:32:13,1194.57000,0.72597367,s
2022-12-31 20:32:13,1194.49000,1.74664160,s
2022-12-31 20:32:13,1194.48000,0.55711848,s
2022-12-31 20:32:13,1194.44000,2.74043499,s
2022-12-31 20:32:13,1194.42000,0.87340046,s
2022-12-31 20:32:46,1194.86000,0.25000000,s
2022-12-31 20:32:46,1194.85000,0.25238382,s
2022-12-31 20:32:46,1194.65000,10.00000000,s
2022-12-31 20:32:46,1194.60000,0.69057634,s
2022-12-31 20:32:46,1194.60000,20.93736188,s
2022-12-31 20:32:46,1194.59000,1.99105127,s
2022-12-31 20:32:46,1194.56000,0.75247484,s
2022-12-31 20:32:46,1194.44000,0.51783448,s
2022-12-31 20:32:46,1194.41000,8.88400000,s
2022-12-31 20:32:46,1194.40000,0.51187339,s
2022-12-31 20:33:19,1194.82000,0.25000000,s
2022-12-31 20:33:19,1194.81000,0.25238382,s
2022-12-31 20:33:19,1194.65000,10.00000000,s
