date,price,returns,ma,std,bollup,bolldown,shift,position,strategy,creturns,cstrategy
2017-12-01,466.5400085449219,0.042530153602790305,419.30944925752874,62.696022633386725,544.7014945243022,293.9174039907553,447.114013671875,1,0.042530153602790305,1.0434475196013495,1.0434475196013495
2017-12-02,463.4490051269531,-0.006647422183877487,423.93169840375236,61.04185931865877,546.0154170410699,301.84797976643483,466.5400085449219,1,-0.006647422183877487,1.0365342864584555,1.0365342864584555
2017-12-03,465.8529968261719,0.005173769251859075,428.2804241433125,59.14629415879719,546.5730124609069,309.9878358257181,463.4490051269531,1,0.005173769251859075,1.041910972551285,1.041910972551285
2017-12-04,470.2040100097656,0.00929653747229843,432.5927437611912,58.08421036438702,548.7611644899653,316.42432303241713,465.8529968261719,1,0.00929653747229843,1.051642300692538,1.051642300692538
2017-12-05,463.281005859375,-0.014832870291597655,435.72549998884705,55.54672978053696,546.8189595499209,324.6320404277731,470.2040100097656,1,-0.014832870291597655,1.0361585450089794,1.0361585450089794
2017-12-06,428.5880126953125,-0.07783767994929666,435.00183595397596,51.17976811104595,537.3613721760679,332.64229973188407,463.281005859375,-1,-0.07783767994929666,0.9585653761455164,0.9585653761455164
2017-12-07,434.4079895019531,0.01348804635476734,434.94199443560166,46.02255070998344,526.9870958555686,342.89689301563476,428.5880126953125,-1,-0.01348804635476734,0.9715821383776924,0.9457230058585155
2017-12-08,456.031005859375,0.04857664201837577,437.05543037337685,41.65924555972244,520.3739214928218,353.73693925393195,434.4079895019531,1,-0.04857664201837577,1.0199434415268491,0.9008809145039317
2017-12-09,473.50201416015625,0.03759536387875813,440.68983769216226,37.36091176581867,515.4116612237996,365.96801416052494,456.031005859375,1,0.03759536387875813,1.0590185046350318,0.9353945719813513
2017-12-10,441.72100830078125,-0.06947768654136824,440.79220604735553,32.664689152240136,506.1215843518358,375.4628277428753,473.50201416015625,1,-0.06947768654136824,0.987938187562487,0.8726117759552465
2017-12-11,515.135986328125,0.15375243708510006,448.1429387089841,29.003928705840718,506.1507961206655,390.1350812973027,441.72100830078125,1,0.15375243708510006,1.1521356311282371,1.0176417228092425
2017-12-12,651.4310302734375,0.23474061105760555,468.1701903226574,48.723484516741024,565.6171593561394,370.72322128917534,515.135986328125,1,0.23474061105760555,1.4569684920488875,1.2868900902539546
2017-12-13,702.7670288085938,0.07585391317806586,491.2063490776202,69.58118899587006,630.3687270693604,352.04397108588006,651.4310302734375,1,0.07585391317806586,1.5717848408221344,1.3883034167890047
2017-12-14,695.8159790039062,-0.009940213774400849,511.23869673205564,84.13030667758659,679.4993100872289,342.97808337688247,702.7670288085938,1,-0.009940213774400849,1.5562383591817968,1.3745717449852233
2017-12-15,684.447998046875,-0.016472556262746414,528.151680019502,93.83404572766425,715.8197714748305,340.4835885641735,695.8159790039062,1,-0.016472556262746414,1.530813119512673,1.3521145064443165
2017-12-16,696.208984375,0.01703720904107257,544.5221991219814,102.57515406960326,749.672507261188,339.3718909827749,684.447998046875,1,0.01703720904107257,1.5571173416316337,1.3753481199105395
2017-12-17,719.9749755859375,0.033566575104906744,561.5760685016952,111.67667228870317,784.9294130791016,338.22272392428886,696.208984375,1,0.033566575104906744,1.6102715494717368,1.4222974010364022
2017-12-18,794.64501953125,0.09867904334789465,584.1858437922477,125.51076056921988,835.2073649306875,333.164322653808,719.9749755859375,1,0.09867904334789465,1.777276030794281,1.5698067076650952
2017-12-19,826.822998046875,0.03969514452900347,607.6822117118767,137.07694074841717,881.836093208711,333.52833021504233,794.64501953125,1,0.03969514452900347,1.8492442034117458,1.6333737159158088
2017-12-20,819.0859985351562,-0.0094015604954164,628.1213295887977,145.24619451922717,918.6137186272521,337.6289405503434,826.822998046875,1,-0.0094015604954164,1.831939893380889,1.6180894148352305
2017-12-21,821.06298828125,0.0024107452669923733,646.7485649935654,151.7109392112922,950.1704434161499,343.326686570981,819.0859985351562,1,0.0024107452669923733,1.836361561424478,1.6219949219335241
2017-12-22,674.8599853515625,-0.1960945876765842,649.4589980563077,148.94620733578842,947.3514127278845,351.56658338473085,821.06298828125,1,-0.1960945876765842,1.5093688963344012,1.3331735626614456
2017-12-23,719.3870239257812,0.06389425349507392,656.1933414019253,146.64292909760397,949.4791995971332,362.90748320671736,674.8599853515625,1,0.06389425349507392,1.6089565567804367,1.4211359132812273
2017-12-24,694.1480102539062,-0.03571428471546085,659.8446333224148,142.74171238869067,945.3280580997962,374.36120854503343,719.3870239257812,1,-0.03571428471546085,1.5525078369905954,1.3712767032149114
2017-12-25,765.833984375,0.09828020664323166,670.0311436571534,139.50641992382253,949.0439835047985,391.0183038095083,694.1480102539062,1,0.09828020664323166,1.7128382492100214,1.5128910344633237
2017-12-26,773.8359985351562,0.010394547270593914,679.999025489997,131.70598738312418,943.4110002562454,416.5870507237487,765.833984375,1,0.010394547270593914,1.730735281992422,1.5286988671366528
2017-12-27,762.8419799804688,-0.01430905666948768,687.9477801758884,121.08766348825701,930.1231071524024,445.77245319937435,773.8359985351562,1,-0.01430905666948768,1.706146433916737,1.5069803844844574
2017-12-28,737.0230102539062,-0.03443179305792983,692.65318434979,108.87156761028038,910.3963195703507,474.9100491292292,762.8419799804688,1,-0.03443179305792983,1.6484006041349168,1.4559754818353874
2017-12-29,753.5919799804688,0.022231967715714403,698.4923277448102,95.60896197868186,889.7102517021739,507.27440378744643,737.0230102539062,1,0.022231967715714403,1.6854581984395365,1.4887071786013226
